pjt_number,GroupNumber,GroupName,Item,Quantity,Driver,SqFt,Comments
151.2015,OP1,Outpatient,Allergy,1,Driver Text 1,100,Comments 1
151.2015,OP2,Outpatient,Cardio,2,Driver Text 2,101,Comments 2
151.2015,OP3,Outpatient,Derm,3,Driver Text 3,102,Comments 3
151.2015,OP4,Outpatient,Family,4,Driver Text 4,103,Comments 4
151.2015,OP5,Outpatient,GI,5,Driver Text 5,104,Comments 5
151.2015,OP6,Outpatient,Headneck,6,Driver Text 6,105,Comments 6
151.2015,OP7,Outpatient,Hemo Onc,7,Driver Text 7,106,Comments 7
151.2015,OP8,Outpatient,Neurology,8,Driver Text 8,107,Comments 8
151.2015,OP9,Outpatient,OBGYN,9,Driver Text 9,108,Comments 9
151.2015,OP10,Outpatient,Occ Med,10,Driver Text 10,109,Comments 10
151.2015,OP11,Outpatient,Ortho,11,Driver Text 11,110,Comments 11
151.2015,OP12,Outpatient,Ophthalmology,12,Driver Text 12,111,Comments 12
151.2015,OP13,Outpatient,Optometry,13,Driver Text 13,112,Comments 13
151.2015,OP14,Outpatient,Optical Sales,14,Driver Text 14,113,Comments 14
151.2015,OP15,Outpatient,Pain,15,Driver Text 15,114,Comments 15
151.2015,OP16,Outpatient,Pediatric,16,Driver Text 16,115,Comments 16
151.2015,OP17,Outpatient,Physical Med,17,Driver Text 17,116,Comments 17
151.2015,OP18,Outpatient,Physical Therapy,18,Driver Text 18,117,Comments 18
151.2015,OP19,Outpatient,Primary Med,19,Driver Text 19,118,Comments 19
151.2015,OP20,Outpatient,Pre-Surg,20,Driver Text 20,119,Comments 20
151.2015,OP21,Outpatient,Psych,21,Driver Text 21,120,Comments 21
151.2015,OP22,Outpatient,Pulmonary,22,Driver Text 22,121,Comments 22
151.2015,OP23,Outpatient,Rhum Pul ID,23,Driver Text 23,122,Comments 23
151.2015,OP24,Outpatient,Sleep,24,Driver Text 24,123,Comments 24
151.2015,OP25,Outpatient,Specialty Med,25,Driver Text 25,124,Comments 25
151.2015,OP26,Outpatient,Sports Med,26,Driver Text 26,125,Comments 26
151.2015,OP27,Outpatient,Surgery,27,Driver Text 27,126,Comments 27
151.2015,OP28,Outpatient,Urgent,28,Driver Text 28,127,Comments 28
151.2015,OP29,Outpatient,Urology,29,Driver Text 29,128,Comments 29
151.2015,AS1,Ancillary Services,Imaging: Nuclear Medicine (If in Outpatient Environment),30,Driver Text 30,129,Comments 30
151.2015,AS2,Ancillary Services,Imaging: OP,31,Driver Text 31,130,Comments 31
151.2015,AS3,Ancillary Services,Interventional Radiology (If Outpatient Surgery (Most likely not),32,Driver Text 32,131,Comments 32
151.2015,AS4,Ancillary Services,Lab: Clinic ﾖ Clinical Lab,33,Driver Text 33,132,Comments 33
151.2015,AS5,Ancillary Services,PACU ﾖ If Ambulatory Surgery is provided,34,Driver Text 34,133,Comments 34
151.2015,AS6,Ancillary Services,Pathology (With Oncology/Cancer Center),35,Driver Text 35,134,Comments 35
151.2015,AS7,Ancillary Services,Pharmacy: OP ﾖ Outpatient/Retail Pharmacy,36,Driver Text 36,135,Comments 36
151.2015,AS8,Ancillary Services,Pharmacy: Satellite (at Surgery Center or Oncology),37,Driver Text 37,136,Comments 37
151.2015,AS9,Ancillary Services,OP: Procedure,38,Driver Text 38,137,Comments 38
151.2015,AS10,Ancillary Services,Respiratory? (Cardiac Clinic?),39,Driver Text 39,138,Comments 39
151.2015,AS11,Ancillary Services,Surgery: OP ﾖ Is Sterilization needed for Ambulatory Surgery Center?,40,Driver Text 40,139,Comments 40
151.2015,BS1,Building Services,Security MOB,41,Driver Text 41,140,Comments 41
151.2015,BS2,Building Services,Safety,42,Driver Text 42,141,Comments 42
151.2015,BS3,Building Services,Material Srvs MOB,43,Driver Text 43,142,Comments 43
151.2015,BS4,Building Services,Mail Room,44,Driver Text 44,143,Comments 44
151.2015,BS5,Building Services,Load Dock (depending on size of facility),45,Driver Text 45,144,Comments 45
151.2015,BS6,Building Services,Linens,46,Driver Text 46,145,Comments 46
151.2015,BS7,Building Services,Facility Srvs MOB,47,Driver Text 47,146,Comments 47
151.2015,BS8,Building Services,Caf� (Could be in a larger facility),48,Driver Text 48,147,Comments 48
151.2015,BS9,Building Services,EVS,49,Driver Text 49,148,Comments 49
151.2015,BS10,Building Services,BioMed MOB,50,Driver Text 50,149,Comments 50
151.2015,AM1,Administration,Amenities Public,51,Driver Text 51,150,Comments 51
151.2015,AM2,Administration,Amenities Staff,52,Driver Text 52,151,Comments 52
151.2015,AM3,Administration,Call Cntr,53,Driver Text 53,152,Comments 53
151.2015,AM4,Administration,Central Registration,54,Driver Text 54,153,Comments 54
151.2015,AM5,Administration,Conf Center,55,Driver Text 55,154,Comments 55
151.2015,AM6,Administration,Office General/HR,56,Driver Text 56,155,Comments 56
151.2015,AM7,Administration,Office Home Health,57,Driver Text 57,156,Comments 57
151.2015,AM8,Administration,Office IT,58,Driver Text 58,157,Comments 58
151.2015,AM9,Administration,Library,59,Driver Text 59,158,Comments 59
151.2015,AM10,Administration,Office Administration,60,Driver Text 60,159,Comments 60
151.2015,AM11,Administration,Office HR,61,Driver Text 61,160,Comments 61
